DATE,PCES
1959-01-01,139.7333333333333333
1959-04-01,142.8666666666666667
1959-07-01,146.2000000000000000
1959-10-01,149.3000000000000000
1960-01-01,151.3000000000000000
1960-04-01,153.8000000000000000
1960-07-01,154.6000000000000000
1960-10-01,156.9000000000000000
1961-01-01,158.9000000000000000
1961-04-01,161.8666666666666667
1961-07-01,163.1666666666666667
1961-10-01,166.7666666666666667
1962-01-01,169.3000000000000000
1962-04-01,172.6666666666666667
1962-07-01,174.8000000000000000
1962-10-01,177.5666666666666667
1963-01-01,179.2333333333333333
1963-04-01,181.7333333333333333
1963-07-01,185.5333333333333333
1963-10-01,189.0333333333333333
1964-01-01,192.9333333333333333
1964-04-01,196.6333333333333333
1964-07-01,200.2000000000000000
1964-10-01,203.8000000000000000
1965-01-01,207.0333333333333333
1965-04-01,211.0333333333333333
1965-07-01,215.0333333333333333
1965-10-01,220.0666666666666667
1966-01-01,223.7333333333333333
1966-04-01,228.2000000000000000
1966-07-01,232.2000000000000000
1966-10-01,237.0333333333333333
1967-01-01,240.8666666666666667
1967-04-01,244.9333333333333333
1967-07-01,250.2333333333333333
1967-10-01,254.7333333333333333
1968-01-01,261.9000000000000000
1968-04-01,269.1666666666666667
1968-07-01,275.7333333333333333
1968-10-01,282.1666666666666667
1969-01-01,288.1666666666666667
1969-04-01,295.7000000000000000
1969-07-01,302.0000000000000000
1969-10-01,310.0000000000000000
1970-01-01,317.5666666666666667
1970-04-01,324.0333333333333333
1970-07-01,331.7333333333333333
1970-10-01,338.3666666666666667
1971-01-01,345.3000000000000000
1971-04-01,353.4000000000000000
1971-07-01,361.7333333333333333
1971-10-01,370.8333333333333333
1972-01-01,381.2000000000000000
1972-04-01,389.0000000000000000
1972-07-01,398.1333333333333333
1972-10-01,409.0333333333333333
1973-01-01,417.7333333333333333
1973-04-01,427.8666666666666667
1973-07-01,438.1666666666666667
1973-10-01,448.0000000000000000
1974-01-01,456.3666666666666667
1974-04-01,471.8000000000000000
1974-07-01,485.3000000000000000
1974-10-01,501.0333333333333333
1975-01-01,517.1666666666666667
1975-04-01,532.0333333333333333
1975-07-01,544.4666666666666667
1975-10-01,563.1666666666666667
1976-01-01,579.1666666666666667
1976-04-01,590.5333333333333333
1976-07-01,608.3333333333333333
1976-10-01,627.3333333333333333
1977-01-01,647.8333333333333333
1977-04-01,663.0666666666666667
1977-07-01,683.0000000000000000
1977-10-01,700.5000000000000000
1978-01-01,724.8000000000000000
1978-04-01,750.4000000000000000
1978-07-01,769.8333333333333333
1978-10-01,789.6666666666666667
1979-01-01,809.2666666666666667
1979-04-01,835.4666666666666667
1979-07-01,858.6000000000000000
1979-10-01,886.6333333333333333
1980-01-01,910.3000000000000000
1980-04-01,926.8666666666666667
1980-07-01,961.9000000000000000
1980-10-01,1004.4000000000000000
1981-01-01,1025.6666666666666667
1981-04-01,1053.7333333333333333
1981-07-01,1077.0666666666666667
1981-10-01,1101.9000000000000000
1982-01-01,1127.8333333333333333
1982-04-01,1151.7000000000000000
1982-07-01,1183.8333333333333333
1982-10-01,1224.4666666666666667
1983-01-01,1258.6666666666666667
1983-04-01,1286.8000000000000000
1983-07-01,1329.1000000000000000
1983-10-01,1356.7000000000000000
1984-01-01,1380.2666666666666667
1984-04-01,1412.2000000000000000
1984-07-01,1446.9000000000000000
1984-10-01,1475.1666666666666667
1985-01-01,1525.6000000000000000
1985-04-01,1555.7666666666666667
1985-07-01,1597.2000000000000000
1985-10-01,1622.3000000000000000
1986-01-01,1652.7666666666666667
1986-04-01,1676.7333333333333333
1986-07-01,1700.4333333333333333
1986-10-01,1732.6666666666666667
1987-01-01,1767.6333333333333333
1987-04-01,1801.9333333333333333
1987-07-01,1836.1333333333333333
1987-10-01,1874.2000000000000000
1988-01-01,1923.1000000000000000
1988-04-01,1964.9666666666666667
1988-07-01,2020.7333333333333333
1988-10-01,2062.0333333333333333
1989-01-01,2101.2000000000000000
1989-04-01,2132.7000000000000000
1989-07-01,2167.4666666666666667
1989-10-01,2210.4666666666666667
1990-01-01,2248.4000000000000000
1990-04-01,2304.1666666666666667
1990-07-01,2350.0333333333333333
1990-10-01,2368.2000000000000000
1991-01-01,2387.7000000000000000
1991-04-01,2429.9000000000000000
1991-07-01,2464.5666666666666667
1991-10-01,2501.9000000000000000
1992-01-01,2566.5666666666666667
1992-04-01,2607.4333333333333333
1992-07-01,2653.8333333333333333
1992-10-01,2709.3333333333333333
1993-01-01,2742.5333333333333333
1993-04-01,2784.4000000000000000
1993-07-01,2838.0333333333333333
1993-10-01,2873.5666666666666667
1994-01-01,2915.5666666666666667
1994-04-01,2956.3666666666666667
1994-07-01,2993.9000000000000000
1994-10-01,3031.9000000000000000
1995-01-01,3074.3333333333333333
1995-04-01,3129.7000000000000000
1995-07-01,3172.4333333333333333
1995-10-01,3211.7333333333333333
1996-01-01,3259.6333333333333333
1996-04-01,3304.6333333333333333
1996-07-01,3348.6000000000000000
1996-10-01,3394.8333333333333333
1997-01-01,3446.5000000000000000
1997-04-01,3496.9666666666666667
1997-07-01,3559.0666666666666667
1997-10-01,3618.6333333333333333
1998-01-01,3676.9333333333333333
1998-04-01,3743.4000000000000000
1998-07-01,3806.9666666666666667
1998-10-01,3847.9000000000000000
1999-01-01,3897.6333333333333333
1999-04-01,3952.2333333333333333
1999-07-01,4017.6666666666666667
1999-10-01,4100.5333333333333333
2000-01-01,4200.5000000000000000
2000-04-01,4270.4666666666666667
2000-07-01,4346.2000000000000000
2000-10-01,4418.6666666666666667
2001-01-01,4487.6333333333333333
2001-04-01,4526.2333333333333333
2001-07-01,4549.4000000000000000
2001-10-01,4596.9000000000000000
2002-01-01,4648.0666666666666667
2002-04-01,4715.2000000000000000
2002-07-01,4772.4666666666666667
2002-10-01,4839.8000000000000000
2003-01-01,4898.4333333333333333
2003-04-01,4964.7000000000000000
2003-07-01,5036.3333333333333333
2003-10-01,5102.5666666666666667
2004-01-01,5184.5000000000000000
2004-04-01,5264.0333333333333333
2004-07-01,5353.0000000000000000
2004-10-01,5441.0333333333333333
