DATE,PRS85006032
1948-01-01,0.40000000000000000000
1949-01-01,-4.7250000000000000
1950-01-01,7.6000000000000000
1951-01-01,1.6250000000000000
1952-01-01,3.7500000000000000
1953-01-01,-1.3000000000000000
1954-01-01,-1.17500000000000000000
1955-01-01,5.2500000000000000
1956-01-01,0.97500000000000000000
1957-01-01,-2.5750000000000000
1958-01-01,-0.85000000000000000000
1959-01-01,3.6750000000000000
1960-01-01,-0.67500000000000000000
1961-01-01,1.12500000000000000000
1962-01-01,0.75000000000000000000
1963-01-01,2.3250000000000000
1964-01-01,4.0500000000000000
1965-01-01,3.8250000000000000
1966-01-01,2.6750000000000000
1967-01-01,0.05000000000000000000
1968-01-01,2.4750000000000000
1969-01-01,2.0750000000000000
1970-01-01,-2.9500000000000000
1971-01-01,1.9000000000000000
1972-01-01,3.5250000000000000
1973-01-01,3.8000000000000000
1974-01-01,-2.1250000000000000
1975-01-01,-1.20000000000000000000
1976-01-01,2.7000000000000000
1977-01-01,5.1500000000000000
1978-01-01,5.6000000000000000
1979-01-01,2.1750000000000000
1980-01-01,-1.10000000000000000000
1981-01-01,0.12500000000000000000
1982-01-01,-2.8500000000000000
1983-01-01,5.8250000000000000
1984-01-01,4.3750000000000000
1985-01-01,2.2500000000000000
1986-01-01,0.82500000000000000000
1987-01-01,3.6000000000000000
1988-01-01,2.9500000000000000
1989-01-01,1.6000000000000000
1990-01-01,-1.07500000000000000000
1991-01-01,-1.8750000000000000
1992-01-01,0.62500000000000000000
1993-01-01,3.6000000000000000
1994-01-01,3.9000000000000000
1995-01-01,1.7500000000000000
1996-01-01,3.1500000000000000
1997-01-01,2.3750000000000000
1998-01-01,2.5250000000000000
1999-01-01,1.4750000000000000
2000-01-01,0.37500000000000000000
2001-01-01,-3.3000000000000000
2002-01-01,-0.82500000000000000000
2003-01-01,-0.17500000000000000000
2004-01-01,1.6750000000000000
2005-01-01,1.7000000000000000
2006-01-01,2.1250000000000000
2007-01-01,-0.15000000000000000000
2008-01-01,-4.3250000000000000
2009-01-01,-5.7500000000000000
2010-01-01,1.8750000000000000
2011-01-01,2.1750000000000000
2012-01-01,1.9750000000000000
2013-01-01,1.6750000000000000
2014-01-01,3.0250000000000000
2015-01-01,1.4000000000000000
2016-01-01,1.22500000000000000000
2017-01-01,2.0250000000000000
2018-01-01,1.5750000000000000
2019-01-01,0.80000000000000000000
2020-01-01,-0.30000000000000000000
